post_code_group,whether_newbuild,avg_price,sales_no
SW11,N,731223.3804,2534
SW11,Y,638871.1457,151
SW12,N,662334.4494,1304
SW12,Y,479565.4324,111
SW13,N,1271742.6365,542
SW13,Y,1015000.0000,8
SW14,N,853394.5355,648
SW14,Y,836658.3333,6
SW15,N,674503.2170,2009
SW15,Y,638197.2329,249
SW16,N,366249.7596,2537
SW16,Y,322000.0662,302
SW17,N,517128.7699,2021
SW17,Y,422595.1333,75
SW18,N,635245.3384,2680
SW18,Y,543642.6272,558
SW19,N,653689.8992,2878
SW19,Y,867673.2558,43
SW1A,N,2804199.4783,23
SW1E,N,1472380.7442,43
SW1H,N,783373.7250,40
SW1P,N,1011110.0819,403
SW1P,Y,1557220.9643,112
SW1V,N,860769.7093,626
SW1V,Y,882133.0667,15
SW1W,N,2474108.2145,331
SW1W,Y,4621800.0000,45
SW1X,N,3948642.5863,278
SW1X,Y,7827250.0000,10
SW1Y,N,2163899.7727,22
SW2,N,420288.5047,1700
SW2,Y,314525.9362,47
SW20,N,590681.1100,1036
SW20,Y,1061980.8824,34
SW3,N,2168536.3539,924
SW3,Y,6377258.5000,24
SW4,N,658630.4105,1279
SW4,Y,671053.5887,124
SW5,N,1161169.2259,580
SW5,Y,697358.8571,14
SW6,N,998425.0509,2356
SW6,Y,1133365.0269,186
SW7,N,2243507.0746,684
SW7,Y,19828333.3333,6
SW8,N,559141.4458,848
SW8,Y,1505842.2427,239
SW9,N,426129.4196,1039
SW9,Y,344731.1279,305
WC1A,N,738260.5263,19
WC1B,N,1608326.0435,23
WC1E,N,871276.2895,38
WC1H,N,423975.2814,199
WC1H,Y,485299.9908,109
WC1N,N,933721.6238,101
WC1N,Y,1119000.0000,15
WC1R,N,794853.5714,14
WC1R,Y,882887.7143,14
WC1X,N,633916.8538,130
WC2B,N,1021086.8333,36
WC2E,N,1729560.4194,31
WC2E,Y,2712130.0000,15
WC2H,N,948890.5556,45
WC2H,Y,3655420.0000,10
WC2N,N,1735961.0278,36
WC2R,N,1880974.5909,22
WC2R,Y,1115664.3390,59
